,postcodes,names,distance,type_major,type_minor
323,CR0,Sainsbury's,15359,grocery,Supermarket
324,CR0,Sainsbury's,23348,grocery,Supermarket
325,CR0,Tesco,14065,grocery,Supermarket
326,CR0,Tesco Extra,35558,grocery,Supermarket
327,CR0,Sainsbury's,13864,grocery,Supermarket
328,CR0,Sainsbury's,20168,grocery,Supermarket
329,CR0,Sainsbury's,23980,grocery,Supermarket
330,CR0,Sainsbury's,17639,grocery,Supermarket
331,CR0,Asda,30597,grocery,Supermarket
332,CR0,Sainsbury's,12169,grocery,Supermarket
333,CR0,Sainsbury's,10843,grocery,Supermarket
334,CR0,Waitrose & Partners,16069,grocery,Supermarket
335,CR0,Morrisons,17718,grocery,Supermarket
336,CR0,Southbank Centre Food Market,16286,grocery,Street Food Gathering
337,CR0,Novikov,17042,nightlife,Asian Restaurant
338,CR0,360 Lounge,16665,nightlife,Hookah Bar
339,CR0,The Pipe Major,25882,nightlife,Restaurant
340,CR0,The Edmund Halley (Wetherspoon),11591,nightlife,Pub
341,CR0,Sky Garden,16578,nightlife,Scenic Lookout
342,CR0,Harry's Dolce Vita,16578,nightlife,Italian Restaurant
343,CR0,Drunch,17790,nightlife,Café
344,CR0,Leadbelly's,15095,nightlife,Bar
345,CR0,Cutty Sark Tavern,14461,nightlife,Pub
346,CR0,Boulevard,19895,nightlife,Café
347,CR0,The Canonbury Tavern,20381,nightlife,Pub
348,CR0,Founder's Arms,16437,nightlife,Pub
349,CR0,The Red Lion (Wetherspoon),23813,nightlife,Pub
350,CR0,The Barrel Vault (Wetherspoon),19372,nightlife,Pub
351,CR0,BrewDog Tower Hill,16429,nightlife,Beer Bar
352,CR0,Shoreditch Grind,18224,nightlife,Coffee Shop
353,CR0,Shoreditch House,17946,nightlife,Social Club
354,CR0,Sketch,17534,nightlife,Modern European Restaurant
355,CR0,The Old Brewery,13933,nightlife,Brewery
356,CR0,German Gymnasium,19355,nightlife,Modern European Restaurant
357,CR0,London's Pride,29222,nightlife,Bar
358,CR0,Sky Pod Bar,16579,nightlife,Cocktail Bar
359,CR0,B Bistro,17167,nightlife,Hookah Bar
360,CR0,The Shakespeare,15886,nightlife,Pub
361,CR0,The Albert,15811,nightlife,Pub
362,CR0,The Hari Bar & Garden Terrace,16286,nightlife,Cocktail Bar
363,CR0,Duke Of York,19643,nightlife,Pub
364,CR0,"River Terrace, Riverside Studios",18137,nightlife,Beer Garden
365,CR0,White City House,19881,nightlife,Social Club
366,CR0,The Plough & Harrow (Wetherspoon),18553,nightlife,Pub
367,CR0,Drunch,20507,nightlife,Restaurant
368,CR0,Mikkeller Brewpub London,18431,nightlife,Bar
369,CR0,Mr Fogg’s Residence,17283,nightlife,Bar
370,CR0,Annabel's,17297,nightlife,Lounge
371,CR0,The People's Park Tavern,19991,nightlife,Pub
372,CR0,Neighbourhood,20874,nightlife,Pub
373,CR0,Circa,17526,nightlife,Gay Bar
374,CR0,BrewDog Shoreditch,18028,nightlife,Beer Bar
375,CR0,The Elysee Restaurant and Roof Garden,17959,nightlife,Greek Restaurant
376,CR0,Howling Hops Tank Bar,20258,nightlife,Bar
377,CR0,Goose Island Brewpub,17848,nightlife,Brewery
378,CR0,The White Hart,21871,nightlife,Pub
379,CR0,The Brownswood,22489,nightlife,Pub
380,CR0,Mikkeller Bar London,18345,nightlife,Beer Bar
381,CR0,Crate Brewery,20276,nightlife,Brewery
382,CR0,BrewDog Shepherds Bush,19145,nightlife,Beer Bar
383,CR0,Wolfpack,21672,nightlife,Pub
384,CR0,Sumosan Twiga,16545,nightlife,Japanese Restaurant
385,CR0,Buddha-Bar,16921,nightlife,Asian Restaurant
386,CR0,Harrods Pizzeria & Canti Prosecco Bar,16584,nightlife,Pizza Place
387,CR0,British Museum,17924,entertainment,History Museum
388,CR0,ZSL London Zoo,20276,entertainment,Zoo
389,CR0,Tate Modern,16322,entertainment,Art Museum
390,CR0,National Gallery,16869,entertainment,Art Museum
391,CR0,Tower of London,16220,entertainment,Castle
392,CR0,Victoria and Albert Museum (V&A),16675,entertainment,Art Museum
393,CR0,Imperial War Museum,15151,entertainment,History Museum
394,CR0,Elizabeth Tower (Big Ben) (Big Ben (Elizabeth Tower)),15911,entertainment,Monument / Landmark
395,CR0,Science Museum,16826,entertainment,Science Museum
396,CR0,Royal Observatory,13492,entertainment,Observatory
397,CR0,Southbank Centre,16346,entertainment,Performing Arts Venue
398,CR0,Hampton Court Palace,19508,entertainment,Palace
399,CR0,Old Royal Naval College,14018,entertainment,Historic Site
400,CR0,Museum of London,17427,entertainment,History Museum
401,CR0,Cutty Sark,13894,entertainment,History Museum
402,CR0,Tate Britain,14967,entertainment,Art Museum
403,CR0,National Maritime Museum,13773,entertainment,History Museum
404,CR0,Somerset House,16897,entertainment,Event Space
405,CR0,Chiswick Memorial Club,19799,entertainment,General Entertainment
406,CR0,Barbican Centre,17612,entertainment,Performing Arts Venue
407,CR0,The O2 Arena,16281,entertainment,Music Venue
408,CR0,Natural History Museum,16810,entertainment,Science Museum
409,CR0,Ashburton Triangle and Arsenal Museum,21771,entertainment,History Museum
410,CR0,Thorpe Park,31637,entertainment,Theme Park
411,CR0,Horniman Museum and Gardens,8713,entertainment,Museum
412,CR0,Stamford Bridge,15742,entertainment,Soccer Stadium
413,CR0,William Hogarth Statue,19614,entertainment,Outdoor Sculpture
414,CR0,Paddington Recreation Athletics Track,20645,entertainment,Track Stadium
415,CR0,Battersea Power Station,14379,entertainment,Historic Site
416,CR0,ODEON BFI IMAX,16202,entertainment,Movie Theater
417,CR0,Emirates Stadium,21648,entertainment,Soccer Stadium
418,CR0,Cineworld,16399,entertainment,Multiplex
419,CR0,Regent's Park Open Air Theatre,19453,entertainment,Theater
420,CR0,Chiswick House & Gardens,19231,entertainment,Historic Site
421,CR0,180 The Strand,17059,entertainment,Art Gallery
422,CR0,Queens Yard,20276,entertainment,Art Gallery
423,CR0,Painted Hall,13964,entertainment,Museum
424,CR0,Mathew Harding End,15968,entertainment,Soccer Stadium
425,CR0,Marble Arch,18002,entertainment,Monument / Landmark
426,CR0,Alexandra Palace,26161,entertainment,Palace
427,CR0,Fulham Palace,15971,entertainment,Historic Site
428,CR0,Platform 9¾,19298,entertainment,General Entertainment
429,CR0,Millennium Leisure Park,15104,entertainment,General Entertainment
430,CR0,Kensington Palace,18033,entertainment,Palace
431,CR0,Hogarth's House,19185,entertainment,Art Museum
432,CR0,Two Temple Place,16895,entertainment,History Museum
433,CR0,Royale Leisure Park,23535,entertainment,General Entertainment
434,CR0,Hampstead Theatre,21549,entertainment,Theater
435,CR0,Somerset House Studios,16876,entertainment,Exhibit
436,CR0,Cricket Pitch,19294,entertainment,Cricket Ground
437,CR0,Trafalgar Square,16765,outdoors,Plaza
438,CR0,Kensington Gardens,17946,outdoors,Park
439,CR0,Piccadilly Circus,17103,outdoors,Plaza
440,CR0,Chelsea Bridge,14874,outdoors,Bridge
441,CR0,Hyde Park,17525,outdoors,Park
442,CR0,Queen Elizabeth Olympic Park,20083,outdoors,Park
