,PostDist,studio_metric,oneBed_metric,twoBed_metric,threeBed_metric,fourBed_metric,fiveBed_metric,distance_Metic,entertainment_Metric,grocery_Metric,nightlife_Metric,outdoors_Metric,restaurants_Metric
75,SW16,0.4928501639870646,0.1883464880669866,0.1555386949924128,0.1834896733877006,0.10972879236608994,0.08740111754686794,1.0,0.35155028997279125,0.30157423276627937,0.4343416212047062,0.27328909380145583,0.7074197938588138
76,SW17,0.5878136965718017,0.3938650306748467,0.6670444286510058,0.6724489795918368,0.45288425035423563,0.3873645091156962,0.04005473063513265,0.3439918473067869,0.2843763168717923,0.3328686663862295,0.20708442667366064,0.4323632639488697
67,SW18,0.6237829996838085,0.42777899131867514,0.6264377295419059,0.6364825930372149,0.6141300958607594,0.29249677892167936,0.021260536979562577,0.1631356138568761,0.13682334192938114,0.1354031122324907,0.08897396559145782,0.1889154833493483
65,SW19,0.5964612686458545,0.4730983599983961,0.7268281179510316,0.7436172849706685,0.6201888382343409,0.4247380414546286,0.021927206545932037,0.1815572293376503,0.16059491044541938,0.1608979757438743,0.10392848361978343,0.21587379876283372
77,SW1E,0.5964612686458545,0.5235991820040901,0.6473335687134723,0.6724489795918368,0.3648015809313989,0.24823794137514144,0.010602687166544427,0.09486843923566049,0.07853646455186941,0.08280288478539341,0.03628600109336649,0.10819090510517707
74,SW1H,0.5711571423614725,0.2886600758079011,0.42039941370803807,0.4717239649614966,0.28400713762307744,0.22041995373679157,0.08894002623463697,0.26701826227718184,0.23857380937803566,0.2770778956460228,0.18991339787291553,0.39276888797801335
71,SW1V,0.13125938310082566,0.17936908914895203,0.13385090512727355,0.12543848810911573,0.0621500589746269,0.0656843633149123,0.14153683574658837,0.36781551265030976,0.3334991345243091,0.48099679467590106,0.29916149824100646,0.7875548536370497
73,SW1W,0.5964612686458545,0.26114473265105453,0.37260975884837805,0.3708474421158598,0.22872980821757466,0.18191275579096045,0.24924903488526418,0.31377931559528716,0.2810409429261044,0.3567733400503259,0.23376195631059024,0.5342053791104747
64,SW3,0.9088397268464613,0.49865446604970365,0.7779593530731621,0.8335316189255971,0.7299880302159093,0.24823794137514144,0.017107354560377683,0.18151315082778727,0.1543774516048961,0.15496140842431852,0.09166290681118991,0.19820014436630204
66,SW5,0.5997613653723489,0.4128349775538753,0.5702851678177281,0.5847440615590499,0.5086323987354539,0.31394485846975434,0.03808005296439097,0.20340352474456916,0.18742300874357146,0.19179503166666864,0.13851617964964338,0.27389138357938725
